Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",28.920000,36.450000,180.000000,bottom
"C1","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.475000,16.150000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.675000,16.150000,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.000000,24.250000,90.000000,top
"C4","100uF","C_Elec_6.3x5.8",43.100000,29.300000,-90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.250000,35.000000,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.500000,35.000000,0.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.750000,35.000000,0.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.000000,35.000000,0.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.250000,35.000000,0.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.500000,35.000000,0.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",46.750000,35.000000,0.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",54.000000,35.000000,0.000000,top
"D1","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",3.350000,38.250000,180.000000,top
"D2","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",10.500000,38.250000,180.000000,top
"D3","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",17.750000,38.250000,180.000000,top
"D4","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",25.000000,38.250000,180.000000,top
"D5","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",32.250000,38.250000,180.000000,top
"D6","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",39.500000,38.250000,180.000000,top
"D7","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",46.750000,38.250000,180.000000,top
"D8","SK6812MINI","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",54.000000,38.250000,180.000000,top
"J1","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",13.100000,30.740000,0.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",15.700000,21.650000,-90.000000,top
"J3","Conn_01x08","PinHeader_1x08_P2.54mm_Vertical",19.900000,1.750000,90.000000,top
"J4","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",2.100000,25.990000,0.000000,top
"Q1","BSS138","SOT-23",8.250000,9.750000,0.000000,top
"Q2","BSS138","SOT-23",14.500000,9.750000,0.000000,top
"Q3","BSS138","SOT-23",20.750000,9.750000,0.000000,top
"Q4","BSS138","SOT-23",27.000000,9.750000,0.000000,top
"Q5","BSS138","SOT-23",33.250000,9.750000,0.000000,top
"Q6","BSS138","SOT-23",39.500000,9.750000,0.000000,top
"Q7","BSS138","SOT-23",45.750000,9.750000,0.000000,top
"Q8","BSS138","SOT-23",52.000000,9.750000,0.000000,top
"R1","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.250000,9.774999,-90.000000,top
"R2","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.000000,12.750000,0.000000,top
"R3","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.500000,9.774999,-90.000000,top
"R4","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",14.225000,12.750000,0.000000,top
"R5","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.000000,28.350000,0.000000,top
"R6","1K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.274999,29.100000,180.000000,top
"R7","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.750000,9.750000,-90.000000,top
"R8","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.250000,12.750000,0.000000,top
"R9","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",24.000000,9.774999,-90.000000,top
"R10","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",26.475000,12.750000,0.000000,top
"R11","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.250000,9.725001,-90.000000,top
"R12","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.725000,12.750000,0.000000,top
"R13","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",36.500000,9.774999,-90.000000,top
"R14","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",38.975000,12.750000,0.000000,top
"R15","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",42.750000,9.775000,-90.000000,top
"R16","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",45.225000,12.750000,0.000000,top
"R17","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.000000,9.775000,-90.000000,top
"R18","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.475000,12.750000,0.000000,top
"SW1","SW_Push","SW_SPST_60x35",45.400000,19.250000,0.000000,top
"U1","ATtiny804","SOIC-14_3.9x8.7mm_P1.27mm",28.750000,24.250000,90.000000,top
